,DBT,4-MeDBT,2-MeDBT,3-MeDBT,,1-MeDBT,4-EthDBT,4.6-DiMeDBT,2-EthDBT,2.4-DiMeDBT,2.6-DiMeDBT,,3.6-DiMeDBT,3-EthDBT,,2.7+3.7+2.8-DiMeDBT,1.8+1.4+1.6-DiMeDBT,3.4-DiMeDBT,1.7-DiMeDBT,1.3-DiMeDBT,2.3-DiMeDBT,1.2-DiMeDBT,4-PropDBT,EthMeDBT,"2,4,6-TriMeDBT","2,4,7+2,4,8-TriMeDBT","1,4,6-TriMeDBT","3,4,6-TriMeDBT","1,3,7+3,4,7-TriMeDBT"
,DBenzoThio,4MDBenzoThio,2MDBenzoThio,3MDBenzoThio,,1MDBenzoThio,,,,,,,,,,,,,,,,,,,,,,,
,,4MDBT,2MDBT,3MDBT,2+3-MDBT,1MDBT,4EDBT,"4,6DMDBT",,"2,4DMDBT",,"2E+2,6DMDBT","3,6DMDBT",,1-EDBT,"2,7+2,8+3,7DMDBT","1,4+1,6+1,8DMDBT","3,4DMDBT","1,7DMDBT","1,3DMDBT",,,4PropDBT,E_MDBT,"2,4,6TMDBT","2,4,7+2,4,8TMDBT","1,4,6TMDBT","3,4,6TMDBT","1,3,7+3,4,7TMDBT"
,,4 MDBT,2 MDBT,3 MDBT,(2+3)-MDBT,1 MDBT,4 EDBT,4.6 DMDBT,,2.4 DMDBT,,2E+2.6 DMDBT,3.6 DMDBT,,,2.7 + 2.8 + 3.7 DMDBT,1.4+1.6+1.8 DMDBT,3.4 DMDBT,1.7 DMDBT,1.3 DMDBT,,,4 Prop DBT,E-M-DBT,2.4.6 TMDBT,2.4.7+2.4.8 TMDBT,1.4.6 TMDBT,3.4.6 TM DBT,1.3.7 + 3.4.7 TMDBT
,Dibenzothiophene,4-Methyldibenzothiophen,2-Methyldibenzothiophen,3-Methyldibenzothiophen,,1-Methyldibenzothiophen,4-Ethyldibenzothiophen,"4,6-Dimethyldibenzothiophen",,"2,4-Dimethyldibenzothiophen",,"2-Ethyl+2,6-Dimethyldibenzothiophen","3,6-Dimethyldibenzothiophen",,,"2,7+2,8+3,7-Dimethyldibenzothiophen","1,4+1,6+1,8-Dimethyldibenzothiophen","3,4-Dimethyldibenzothiophen","1,7-Dimethyldibenzothiophen","1,3-Dimethyldibenzothiophen",,,,,Trimethyldibenzothiophen A,B + C,D,E,F+G
,,4-methydibenzothiophen,2-methydibenzothiophen,3-methydibenzothiophen,,1-methydibenzothiophen,4-ethydibenzothiophen,"4,6-dimethydibenzothiophene",,"2,4-dimethydibenzothiophene",,"2-ethyl+2,6-dimethydibenzothiophene","3,6-dimethydibenzothiophene",,,"2,7+2,8+3,7-dimethydibenzothiophene","1,4+1,6+1,8-dimethydibenzothiophene","3,4-dimethydibenzothiophene","1,7-dimethydibenzothiophene","1,3-dimethydibenzothiophene",,,,,trimethyldibenzothiophene,,,,
,,,,,,,4EDBenzoThio,"4,6DMDBenzoThio",,"2,4DMDBenzoThio",,"2E+2,6DMDBenzoThio","3,6DMDBenzoThio",,,"2,7+2,8+3,7DMDBenzoThio","1,4+1,6+1,8DMDBenzoThio","3,4DMDBenzoThio","1,7DMDBenzoThio","1,3DMDBenzoThio",,,,,C3DBenzoThioA,C3DBenzoThioB+C,C3DBenzoThioD,C3DBenzoThioE,C3DBenzoThioF+G
final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IUPAC Name (english),dibenzothiophene,4-methydibenzothiophene,2-methydibenzothiophene,3-methydibenzothiophene,2-+3-methydibenzothiophene,1-methydibenzothiophene,4-ethydibenzothiophene,"4,6-dimethydibenzothiophene",2-ethydibenzothiophene,"2,4-dimethydibenzothiophene","2,6-dimethydibenzothiophene","2-ethyl+2,6-dimethydibenzothiophene","3,6-dimethydibenzothiophene",3-ethydibenzothiophene,1-ethydibenzothiophene,"2,7-+3,7-+2,8-trimethydibenzothiophene","1,8-+1,4-+1,6-trimethydibenzothiophene","3,4-dimethydibenzothiophene","1,7-dimethydibenzothiophene","1,3-dimethydibenzothiophene","2,3-dimethydibenzothiophene","1,2-dimethydibenzothiophene",4-propyldibenzothiophene,ethylmethyldibenzothiophene,,"2,4,7-+2,4,8-trimethyldibenzothiophene","1,4,6-trimethyldibenzothiophene","3,4,6-trimethyldibenzothiophene","1,3,7-+3,4,7-trimethyldibenzothiophene"
Abbreviation,DBT,4MeDBT,2MeDBT,3MeDBT,2+3MeDBT,1MeDBT,4EDBT,46DiMeDBT,2EDBT,24DiMeDBT,26DiMeDBT,2E+26DiMeDBT,36DiMeDBT,3EDBT,1EDBT,27+37+28DiMeDBT,18+14+16DiMeDBT,34DiMeDBT,17DiMeDBT,13DiMeDBT,23DiMeDBT,12DiMeDBT,4PropDBT,EMeDBT,246TriMeDBT,247+248TriMeDBT,146TriMeDBT,346TriMeDBT,137+347-TriMeDBT
InchI,InChI=1S/C12H8S/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
