compund_name,"13beta,17alpha,20S-diacholestane","13beta,17alpha,20R-diacholestane","13alpha,17beta,20R-diacholestane","13alpha,17beta,20S-diacholestane","5alpha,14alpha,17alpha,20S-cholestane","5alpha,14beta,17beta,20R-cholestane","5alpha,14beta,17beta,20R-cholestane + 13beta,17alpha,20S-24-ethyldiacholestane","5alpha,14beta,17beta,20S-cholestane","5alpha,14alpha,17alpha,20R-cholestane","5alpha,14alpha,17alpha,20R-cholestane + 13beta,17alpha,20R-24-ethyldiacholestane","13beta,17alpha,20S-24-methyldiacholestane","13beta,17alpha,20R-24-methyldiacholestane","13alpha,17beta,20R-24-methyldiacholestane","13alpha,17beta,20S-24-methyldiacholestane","5alpha,14alpha,17alpha,20S-24-methylcholestane","5alpha,14beta,17beta,20R-24-methylcholestane","5alpha,14beta,17beta,20S-24-methylcholestane","5alpha,14alpha,17alpha,20R-24-methylcholestane","13beta,17alpha,20S-24-ethyldiacholestane","13beta,17alpha,20R-24-ethyldiacholestane","13alpha,17beta,20R-24-ethyldiacholestane","13alpha,17beta,20S-24-ethyldiacholestane","5alpha,14alpha,17alpha,20S-24-ethylcholestane","5alpha,14beta,17beta,20R-24-ethylcholestane","5alpha,14beta,17beta,20S-24-ethylcholestane","5alpha,14alpha,17alpha,20R-24-ethylcholestane","13beta,17alpha,20S-24-propyldiacholestane","13beta,17alpha,20R-24-propyldiacholestane","13alpha,17beta,20R-24-propyldiacholestane","13alpha,17beta,20S-24-propyldiacholestane","5alpha,14alpha,17alpha,20S-24-propylcholestane","5alpha,14beta,17beta,20R-24-propylcholestane","5alpha,14beta,17beta,20S-24-propylcholestane","5alpha,14alpha,17alpha,20R-24-propylcholestane"
abbrev1,27dbaS,27dbaR,27dabR,27dabS,27aaaS,27abbR,27abbR + 29dbaS,27abbS,27aaaR,27aaaR + 29dbaR,28dbaS,28dbaR,28dabR,28dabS,28aaaS,28abbR,28abbS,28aaaR,29dbaS,29dbaR,29dabR,29dabS,29aaaS,29abbR,29abbS,29aaaR,30dbaS,30dbaR,30dabR,30dabS,30aaaS,30abbR,30abbS,30aaaR
abbrev2,Ster-27dbaS,Ster-27dbaR,Ster-27dabR,Ster-27dabS,Ster-27aaaS,Ster-27abbR,Ster-27abbR + 29dbaS,Ster-27abbS,Ster-27aaaR,Ster-27aaaR + Ster-29dbaR,Ster-28dbaS,Ster-28dbaR,Ster-28dabR,Ster-28dabS,Ster-28aaaS,Ster-28abbR,Ster-28abbS,Ster-28aaaR,Ster-29dbaS,Ster-29dbaR,Ster-29dabR,Ster-29dabS,Ster-29aaaS,Ster-29abbR,Ster-29abbS,Ster-29aaaR,Ster-30dbaS,Ster-30dbaR,Ster-30dabR,Ster-30dabS,Ster-30aaaS,Ster-30abbR,Ster-30abbS,Ster-30aaaR
compound_class,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes,steranes
method1,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic,GCMS_aliphatic
method1_iontrace-mz,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
method2,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic,GCMS-MRM_aliphatic
method2_iontrace-mz,372-217,372-217,372-217,372-217,372-217,372-217,,372-217,372-217,,386-217,386-217,386-217,386-217,386-217,386-217,386-217,386-217,400-217,400-217,400-217,400-217,400-217,400-217,400-217,400-217,414-217,414-217,414-217,414-217,414-217,414-217,414-217,414-217
peak,ST-A1,ST-A2,ST-A3,ST-A4,ST-A5,ST-A6,ST-A6 + ST-C1,ST-A7,ST-A8,ST-A8 + ST-C2,ST-B1,ST-B2,ST-B3,ST-B4,ST-B5,ST-B6,ST-B7,ST-B8,ST-C1,ST-C2,ST-C3,ST-C4,ST-C5,ST-C6,ST-C7,ST-C8,ST-D1,ST-D2,ST-D3,ST-D4,ST-D5,ST-D6,ST-D7,ST-D8
InChI,"InChI=1S/C27H48/c1-19(2)9-8-10-20(3)21-14-18-27(5)24(21)13-12-22-23-11-6-7-16-26(23,4)17-15-25(22)27/h19-25H,6-18H2,1-5H3/t20-,21+,22-,23-,24+,25-,26-,27-/m0/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)21-14-18-27(5)24(21)13-12-22-23-11-6-7-16-26(23,4)17-15-25(22)27/h19-25H,6-18H2,1-5H3/t20-,21-,22+,23+,24-,25+,26+,27+/m1/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)21-14-18-27(5)24(21)13-12-22-23-11-6-7-16-26(23,4)17-15-25(22)27/h19-25H,6-18H2,1-5H3/t20-,21+,22+,23+,24+,25+,26+,27+/m1/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)21-14-18-27(5)24(21)13-12-22-23-11-6-7-16-26(23,4)17-15-25(22)27/h19-25H,6-18H2,1-5H3/t20-,21-,22-,23-,24-,25-,26-,27-/m0/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21+,22-,23+,24-,25-,26-,27+/m0/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21-,22+,23+,24-,25+,26+,27-/m1/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21-,22+,23+,24-,25+,26+,27-/m1/s1 + InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23+,24-,25-,26+,27-,28-,29-/m0/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21+,22-,23-,24+,25-,26-,27+/m0/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21-,22+,23-,24+,25+,26+,27-/m1/s1","InChI=1S/C27H48/c1-19(2)9-8-10-20(3)23-14-15-24-22-13-12-21-11-6-7-17-26(21,4)25(22)16-18-27(23,24)5/h19-25H,6-18H2,1-5H3/t20-,21-,22+,23-,24+,25+,26+,27-/m1/s1 + InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23-,24+,25+,26-,27+,28+,29+/m1/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)22-14-18-28(6)25(22)13-12-23-24-9-7-8-16-27(24,5)17-15-26(23)28/h19-26H,7-18H2,1-6H3/t20-,21-,22+,23-,24-,25+,26-,27-,28-/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)22-14-18-28(6)25(22)13-12-23-24-9-7-8-16-27(24,5)17-15-26(23)28/h19-26H,7-18H2,1-6H3/t20-,21+,22+,23-,24-,25+,26-,27-,28-/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)22-14-18-28(6)25(22)13-12-23-24-9-7-8-16-27(24,5)17-15-26(23)28/h19-26H,7-18H2,1-6H3/t20-,21+,22-,23-,24-,25-,26-,27-,28-/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)22-14-18-28(6)25(22)13-12-23-24-9-7-8-16-27(24,5)17-15-26(23)28/h19-26H,7-18H2,1-6H3/t20-,21-,22-,23-,24-,25-,26-,27-,28-/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)24-14-15-25-23-13-12-22-9-7-8-17-27(22,5)26(23)16-18-28(24,25)6/h19-26H,7-18H2,1-6H3/t20-,21-,22+,23-,24+,25-,26-,27-,28+/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)24-14-15-25-23-13-12-22-9-7-8-17-27(22,5)26(23)16-18-28(24,25)6/h19-26H,7-18H2,1-6H3/t20-,21+,22+,23-,24-,25+,26-,27-,28+/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)24-14-15-25-23-13-12-22-9-7-8-17-27(22,5)26(23)16-18-28(24,25)6/h19-26H,7-18H2,1-6H3/t20-,21-,22+,23-,24-,25+,26-,27-,28+/m0/s1","InChI=1S/C28H50/c1-19(2)20(3)10-11-21(4)24-14-15-25-23-13-12-22-9-7-8-17-27(22,5)26(23)16-18-28(24,25)6/h19-26H,7-18H2,1-6H3/t20-,21+,22+,23-,24+,25-,26-,27-,28+/m0/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23+,24-,25-,26+,27-,28-,29-/m0/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23-,24+,25+,26-,27+,28+,29+/m1/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23+,24+,25+,26+,27+,28+,29+/m1/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)23-15-19-29(6)26(23)14-13-24-25-10-8-9-17-28(25,5)18-16-27(24)29/h20-27H,7-19H2,1-6H3/t21-,22?,23-,24-,25-,26-,27-,28-,29-/m0/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)25-15-16-26-24-14-13-23-10-8-9-18-28(23,5)27(24)17-19-29(25,26)6/h20-27H,7-19H2,1-6H3/t21-,22?,23+,24-,25+,26-,27-,28-,29+/m0/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)25-15-16-26-24-14-13-23-10-8-9-18-28(23,5)27(24)17-19-29(25,26)6/h20-27H,7-19H2,1-6H3/t21-,22?,23-,24+,25+,26-,27+,28+,29-/m1/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)25-15-16-26-24-14-13-23-10-8-9-18-28(23,5)27(24)17-19-29(25,26)6/h20-27H,7-19H2,1-6H3/t21-,22?,23+,24-,25-,26+,27-,28-,29+/m0/s1","InChI=1S/C29H52/c1-7-22(20(2)3)12-11-21(4)25-15-16-26-24-14-13-23-10-8-9-18-28(23,5)27(24)17-19-29(25,26)6/h20-27H,7-19H2,1-6H3/t21-,22?,23-,24+,25-,26+,27+,28+,29-/m1/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)24-16-20-30(6)27(24)15-14-25-26-11-8-9-18-29(26,5)19-17-28(25)30/h21-28H,7-20H2,1-6H3/t22-,23?,24+,25-,26-,27+,28-,29-,30-/m0/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)24-16-20-30(6)27(24)15-14-25-26-11-8-9-18-29(26,5)19-17-28(25)30/h21-28H,7-20H2,1-6H3/t22-,23?,24-,25+,26+,27-,28+,29+,30+/m1/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)24-16-20-30(6)27(24)15-14-25-26-11-8-9-18-29(26,5)19-17-28(25)30/h21-28H,7-20H2,1-6H3/t22-,23?,24+,25+,26+,27+,28+,29+,30+/m1/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)24-16-20-30(6)27(24)15-14-25-26-11-8-9-18-29(26,5)19-17-28(25)30/h21-28H,7-20H2,1-6H3/t22-,23?,24-,25-,26-,27-,28-,29-,30-/m0/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)26-16-17-27-25-15-14-24-11-8-9-19-29(24,5)28(25)18-20-30(26,27)6/h21-28H,7-20H2,1-6H3/t22-,23?,24+,25-,26+,27-,28-,29-,30+/m0/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)26-16-17-27-25-15-14-24-11-8-9-19-29(24,5)28(25)18-20-30(26,27)6/h21-28H,7-20H2,1-6H3/t22-,23?,24-,25+,26+,27-,28+,29+,30-/m1/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)26-16-17-27-25-15-14-24-11-8-9-19-29(24,5)28(25)18-20-30(26,27)6/h21-28H,7-20H2,1-6H3/t22-,23?,24+,25-,26-,27+,28-,29-,30+/m0/s1","InChI=1S/C30H54/c1-7-10-23(21(2)3)13-12-22(4)26-16-17-27-25-15-14-24-11-8-9-19-29(24,5)28(25)18-20-30(26,27)6/h21-28H,7-20H2,1-6H3/t22-,23?,24-,25+,26-,27+,28+,29+,30-/m1/s1"
